resp,pval,avg,cilo,cihi,pavg,plo,phi,studylo
den,0.98,0.01,-0.72,0.74,0.78,-51.3,108.58,NA
den,0.95,-0.02,-0.86,0.82,-2.38,-57.89,126.32,3
den,0.83,0.08,-0.73,0.88,7.9,-51.89,142.01,4
den,0.76,0.1,-0.66,0.87,11.03,-48.51,139.43,5
den,0.81,-0.09,-0.88,0.71,-8.28,-58.5,102.71,6
den,0.94,-0.03,-0.85,0.8,-2.61,-57.25,121.9,8
den,0.93,0.03,-0.8,0.86,3.21,-55.06,137.03,9
den,0.26,-0.19,-0.68,0.3,-17.32,-49.2,34.57,10
den,0.64,0.14,-0.54,0.83,15.51,-41.55,128.3,11
den,0.93,0.03,-0.79,0.85,3.14,-54.74,135.01,12
den,0.91,0.04,-0.78,0.86,4.02,-54.32,136.86,13
den,0.97,-0.01,-0.84,0.81,-1.14,-56.65,125.45,15
bio,0.02,-0.72,-1.27,-0.17,-51.33,-71.91,-15.67,NA
bio,0.03,-0.76,-1.39,-0.12,-53.05,-75.07,-11.59,1
bio,0.04,-0.65,-1.25,-0.04,-47.6,-71.3,-4.35,2
bio,0.01,-0.82,-1.39,-0.25,-56.06,-75.16,-22.26,3
bio,0.03,-0.73,-1.36,-0.1,-51.96,-74.42,-9.78,4
bio,0.03,-0.66,-1.23,-0.08,-48.13,-70.87,-7.65,5
bio,0.01,-0.8,-1.37,-0.23,-55.23,-74.67,-20.88,7
bio,0.02,-0.81,-1.44,-0.18,-55.5,-76.27,-16.57,9
bio,0.02,-0.59,-1.06,-0.11,-44.41,-65.48,-10.49,11
bio,0.04,-0.67,-1.28,-0.06,-49.04,-72.31,-6.25,12
bio,0.02,-0.79,-1.4,-0.19,-54.69,-75.24,-17.1,14
bio,0.04,-0.66,-1.28,-0.05,-48.5,-72.18,-4.66,15
