loc_state,lat,long,ccpl_doy,ccterm_doy,croppl_doy,cc_bio_kgha
IL,40.110588,-88.207268,258,133,144,7100
IL,40.110588,-88.207268,258,137,144,7100
IL,40.110588,-88.207268,258,132,153,6000
IL,40.110588,-88.207268,258,142,153,6000
IL,40.110588,-88.207268,258,131,149,6000
IL,40.110588,-88.207268,258,142,149,6000
WI,43.3375,-89.37376,288,152,150,939
WI,43.3375,-89.37376,288,152,150,604
WI,43.3375,-89.37376,288,152,150,1212
WI,43.3375,-89.37376,288,152,181,186
WI,43.3375,-89.37376,288,152,181,345
MN,44.0770411,-93.50838429,291,121,134,375
MN,44.0770411,-93.50838429,291,128,134,851
MN,44.0770411,-93.50838429,291,140,134,2185
MN,44.0770411,-93.50838429,291,148,150,3768
MN,45.68333333,-95.8,245,162,162,6000
MN,45.68333333,-95.8,263,165,165,6000
OH,40.8051,-81.9351,258,NA,131,3400
OH,40.8051,-81.9351,258,NA,125,3500
IN,40.4259,-86.9081,288,121,130,NA
IN,40.4259,-86.9081,288,122,130,NA
IN,38.6773,-87.5286,288,123,130,NA
IN,38.6773,-87.5286,288,124,130,NA
NE,41.132511,-100.763969,290,108,NA,3766
NE,41.132511,-100.763969,263,108,NA,4081
IL,40.076623,-88.239866,NA,NA,NA,2375
IL,40.076623,-88.239866,NA,NA,NA,9003
MO,38.89805556,-92.37055556,258,120,NA,135
MO,39.418369,-92.438237,258,120,NA,953
MO,39.418369,-92.438237,258,120,NA,2291
MO,39.418369,-92.438237,258,120,NA,1424
KS,37.989331,-100.814511,288,121,150,NA
NE,41.145575,-96.498209,250,157,158,3170
NE,41.145575,-96.498209,250,157,158,6310
NE,41.145575,-96.498209,250,157,158,7160
NE,41.145575,-96.498209,250,157,158,6710
NE,41.145575,-96.498209,250,143,141,130
NE,41.145575,-96.498209,250,143,141,2890
NE,41.145575,-96.498209,250,143,141,750
NE,41.145575,-96.498209,250,143,141,2170
MO,38.89805556,-92.37055556,258,120,NA,NA
MO,39.418369,-92.438237,258,120,NA,NA
